id,feature_name,Title,Author,SCI,Journal_or_Conference_name,Year,No_field,no_field_secondary,Fiber_type,Fiber_type_detail,Matrix_type,Matrix_type_detail,glass_transition_temperature,glass_transition_temperature_run_2,cure_ratio,Fiber_content_weight,Fiber_content_volume,Void_content,diameter,average_area,nominal_area,rib,surface_treatment,Water_absorption_at_saturation,Water_absorption_test_standard,Water_absorption_note,Brand_name,Manufacturer,Important_notes,Notes_of_rebar,Target_parameter,note_of_target_parameter,num_1,note_of_number,Value1_1,COV1_1,note_of_Value1,Value2_1,COV2_1,Value2note_1,Value3_1,COV3_1,Value3note_1,SEM_T_BCBT,SEM_L_BCBT,OTHER_main,OTHER1_1,FTIR_1,note_1,temperature,note_of_temperature,time_field,note_of_time,concrete,pH_of_concrete,strength_of_concrete,crack,cover,note_of_concrete,pH_1,pHafter,ingredient_1,pH_2,RH_1,ingredient_2,note_2,Location,Effektive_Klimaklassifikation,field_average_humidity,field_average_temperature,pH_2_additional,Ingrediant_additional,number_field,type_field,SolutionorMoisture,cycle_pH,cycle_pH_after,created_at,updated_at
1,1,Accelerated aging tests for evaluations of durability performance of FRP reinforcing bars for concrete structures,"Yi Chen, Julio F. Davalos*, Indrajit Ray, Hyeong-Yeol Kim",1,Composite Structures,2007,1.0,1,Glass,E-glass,Vinyl ester,,,,,,,,9.53,,,helically wrapped,sand coated,,,,Aslan 100,"Hughes Brothers, Inc.","Link:'Accelerated aging tests for evaluations of durability performance',Durability Prediction for GFRP Reinforcing Bars Using Short-Term Data of Accelerated Aging Tests'",,Tensile,,6.0,,771.0,0.0,,,,,,,,,,,,,,60.0,,1680.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2025-10-27 16:47:16,2025-10-27 16:47:16
2,1,Accelerated aging tests for evaluations of durability performance of FRP reinforcing bars for concrete structures,"Yi Chen, Julio F. Davalos*, Indrajit Ray, Hyeong-Yeol Kim",1,Composite Structures,2007,2.0,2,Glass,E-glass,Vinyl ester,,,,,,,,9.53,,,helically wrapped,sand coated,,,,Aslan 100,"Hughes Brothers, Inc.","Link:'Accelerated aging tests for evaluations of durability performance',Durability Prediction for GFRP Reinforcing Bars Using Short-Term Data of Accelerated Aging Tests'",,Tensile,,6.0,,771.0,1.0,,,,,,,,,,,,,,40.0,,1680.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2025-10-27 16:47:16,2025-10-27 16:47:16
3,1,Accelerated aging tests for evaluations of durability performance of FRP reinforcing bars for concrete structures,"Yi Chen, Julio F. Davalos*, Indrajit Ray, Hyeong-Yeol Kim",1,Composite Structures,2007,3.0,3,Glass,E-glass,Vinyl ester,,,,,,,,9.53,,,helically wrapped,sand coated,,,,Aslan 100,"Hughes Brothers, Inc.","Link:'Accelerated aging tests for evaluations of durability performance',Durability Prediction for GFRP Reinforcing Bars Using Short-Term Data of Accelerated Aging Tests'",,Tensile,,6.0,,771.0,1.0,,,,,,,,,,,,,,20.0,room temp,2880.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2025-10-27 16:47:16,2025-10-27 16:47:16
4,1,Accelerated aging tests for evaluations of durability performance of FRP reinforcing bars for concrete structures,"Yi Chen, Julio F. Davalos*, Indrajit Ray, Hyeong-Yeol Kim",1,Composite Structures,2007,4.0,4,Glass,E-glass,Vinyl ester,,,,,,,,9.53,,,helically wrapped,sand coated,,,,Aslan 100,"Hughes Brothers, Inc.","Link:'Accelerated aging tests for evaluations of durability performance',Durability Prediction for GFRP Reinforcing Bars Using Short-Term Data of Accelerated Aging Tests'",,Tensile,,6.0,,771.0,1.0,,,,,,,,,,,,,,,,1728.0,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-27 16:47:16,2025-10-27 16:47:16
5,1,Accelerated aging tests for evaluations of durability performance of FRP reinforcing bars for concrete structures,"Yi Chen, Julio F. Davalos*, Indrajit Ray, Hyeong-Yeol Kim",1,Composite Structures,2007,5.0,5,Glass,E-glass,Vinyl ester,,,,,,,,9.53,,,helically wrapped,sand coated,,,,Aslan 100,"Hughes Brothers, Inc.","Link:'Accelerated aging tests for evaluations of durability performance',Durability Prediction for GFRP Reinforcing Bars Using Short-Term Data of Accelerated Aging Tests'",,Tensile,,6.0,,771.0,1.0,,,,,,,,,,,,,,60.0,,1680.0,,,,,,,,13.6,,"NaOH:2.4(0.06), KOH:19.6(0.35), Ca(OH)2:2(0.027); g/L(mol/L)",,,,,,,,,,,,,,,,2025-10-27 16:47:16,2025-10-27 16:47:16
6,1,Accelerated aging tests for evaluations of durability performance of FRP reinforcing bars for concrete structures,"Yi Chen, Julio F. Davalos*, Indrajit Ray, Hyeong-Yeol Kim",1,Composite Structures,2007,6.0,6,Glass,E-glass,Vinyl ester,,,,,,,,9.53,,,helically wrapped,sand coated,,,,Aslan 100,"Hughes Brothers, Inc.","Link:'Accelerated aging tests for evaluations of durability performance',Durability Prediction for GFRP Reinforcing Bars Using Short-Term Data of Accelerated Aging Tests'",,Tensile,,6.0,,771.0,1.0,,,,,,,,,,,,,,40.0,,1680.0,,,,,,,,13.6,,"NaOH:2.4(0.06), KOH:19.6(0.35), Ca(OH)2:2(0.028); g/L(mol/L)",,,,,,,,,,,,,,,,2025-10-27 16:47:16,2025-10-27 16:47:16
7,1,Accelerated aging tests for evaluations of durability performance of FRP reinforcing bars for concrete structures,"Yi Chen, Julio F. Davalos*, Indrajit Ray, Hyeong-Yeol Kim",1,Composite Structures,2007,7.0,7,Glass,E-glass,Vinyl ester,,,,,,,,9.53,,,helically wrapped,sand coated,,,,Aslan 100,"Hughes Brothers, Inc.","Link:'Accelerated aging tests for evaluations of durability performance',Durability Prediction for GFRP Reinforcing Bars Using Short-Term Data of Accelerated Aging Tests'",,Tensile,,6.0,,771.0,1.0,,,,,,,,,,,,,,20.0,room temp,2880.0,,,,,,,,13.6,,"NaOH:2.4(0.06), KOH:19.6(0.35), Ca(OH)2:2(0.029); g/L(mol/L)",,,,,,,,,,,,,,,,2025-10-27 16:47:16,2025-10-27 16:47:16
8,1,Accelerated aging tests for evaluations of durability performance of FRP reinforcing bars for concrete structures,"Yi Chen, Julio F. Davalos*, Indrajit Ray, Hyeong-Yeol Kim",1,Composite Structures,2007,8.0,8,Glass,E-glass,Vinyl ester,,,,,,,,9.53,,,helically wrapped,sand coated,,,,Aslan 100,"Hughes Brothers, Inc.","Link:'Accelerated aging tests for evaluations of durability performance',Durability Prediction for GFRP Reinforcing Bars Using Short-Term Data of Accelerated Aging Tests'",,Tensile,,6.0,,771.0,1.0,,,,,,,,,,,,,,,,1728.0,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-27 16:47:16,2025-10-27 16:47:16
9,1,Accelerated aging tests for evaluations of durability performance of FRP reinforcing bars for concrete structures,"Yi Chen, Julio F. Davalos*, Indrajit Ray, Hyeong-Yeol Kim",1,Composite Structures,2007,9.0,9,Glass,E-glass,Vinyl ester,,,,,,,,9.53,,,helically wrapped,sand coated,,,,Aslan 100,"Hughes Brothers, Inc.","Link:'Accelerated aging tests for evaluations of durability performance',Durability Prediction for GFRP Reinforcing Bars Using Short-Term Data of Accelerated Aging Tests'",,Tensile,,6.0,,771.0,1.0,,,,,,,,,,,,,,60.0,,1680.0,,,,,,,,12.7,,"NaOH:0.6(0.015), KOH:1.4(0.025), Ca(OH)2:0.037(0.005); g/L(mol/L)",,,,,,,,,,,,,,,,2025-10-27 16:47:16,2025-10-27 16:47:16
10,1,Accelerated aging tests for evaluations of durability performance of FRP reinforcing bars for concrete structures,"Yi Chen, Julio F. Davalos*, Indrajit Ray, Hyeong-Yeol Kim",1,Composite Structures,2007,10.0,10,Glass,E-glass,Vinyl ester,,,,,,,,9.53,,,helically wrapped,sand coated,,,,Aslan 100,"Hughes Brothers, Inc.","Link:'Accelerated aging tests for evaluations of durability performance',Durability Prediction for GFRP Reinforcing Bars Using Short-Term Data of Accelerated Aging Tests'",,Tensile,,6.0,,771.0,1.0,,,,,,,,,,,,,,40.0,,1680.0,,,,,,,,12.7,,"NaOH:0.6(0.015), KOH:1.4(0.025), Ca(OH)2:0.037(0.005); g/L(mol/L)",,,,,,,,,,,,,,,,2025-10-27 16:47:16,2025-10-27 16:47:16
