model,config_id,config,cv_mean,cv_std,test_r2,test_mse,test_rmse,test_mae,training_time,n_samples,n_features
RandomForest,1,"{'n_estimators': 50, 'max_depth': 5, 'random_state': 42}",0.9981726460743359,0.0008331071022969379,0.996966996178988,0.00023467163994606016,0.015318996048894985,0.007356154591326033,0.05193471908569336,134,13
RandomForest,2,"{'n_estimators': 100, 'max_depth': 7, 'random_state': 42}",0.9983524218576697,0.0007840444980225795,0.9969255001880905,0.00023788229605128684,0.015423433341875823,0.007342407323816218,0.12357521057128906,134,13
RandomForest,3,"{'n_estimators': 150, 'max_depth': 10, 'random_state': 42}",0.998319433567816,0.0007196417728423953,0.9967163746153161,0.0002540629024777032,0.015939350754585434,0.0072668876324634805,0.1934490203857422,134,13
RandomForest,4,"{'n_estimators': 200, 'max_depth': None, 'random_state': 42}",0.9982119989353375,0.0007947581969009717,0.9971589266881996,0.00021982146170350728,0.014826377227883663,0.0066792969862410016,0.25721025466918945,134,13
RandomForest,5,"{'n_estimators': 100, 'max_depth': 3, 'min_samples_split': 5, 'random_state': 42}",0.9950604244878394,0.002554880811859113,0.9936578618855229,0.0004907082351093642,0.02215193524524131,0.012794148109762192,0.08084440231323242,134,13
RandomForest,6,"{'n_estimators': 150, 'max_depth': 5, 'min_samples_split': 10, 'random_state': 42}",0.9963559618253723,0.001927445699300444,0.9901642405750434,0.000761019085560967,0.027586574371620827,0.01347268031991656,0.12979936599731445,134,13
RandomForest,7,"{'n_estimators': 200, 'max_depth': 7, 'min_samples_leaf': 2, 'random_state': 42}",0.9981348403523886,0.001003951571959148,0.9966393259691388,0.0002600243628717822,0.016125270939484463,0.006980106721629816,0.21137762069702148,134,13
RandomForest,8,"{'n_estimators': 100, 'max_depth': 10, 'max_features': 'sqrt', 'random_state': 42}",0.9538327578487038,0.02804249330789136,0.9772641127673946,0.0017591365713228516,0.041942062077619066,0.031048102425138845,0.08481407165527344,134,13
RandomForest,9,"{'n_estimators': 250, 'max_depth': 5, 'max_features': 'log2', 'random_state': 42}",0.9315017310279753,0.0446250759090733,0.9608675632099603,0.0030277815850360463,0.05502528132627807,0.041913724843947175,0.18445658683776855,134,13
RandomForest,10,"{'n_estimators': 300, 'max_depth': 8, 'min_samples_split': 3, 'random_state': 42}",0.998147092279358,0.000818194451724272,0.9971304792348586,0.00022202251746266885,0.014900420043162168,0.006830544924081883,0.3478355407714844,134,13
RandomForest,11,"{'n_estimators': 80, 'max_depth': 6, 'min_samples_leaf': 4, 'random_state': 42}",0.997229383505536,0.0010707511046231903,0.9936430615348686,0.0004918533779330413,0.022177767649902036,0.010841106290281226,0.07275843620300293,134,13
RandomForest,12,"{'n_estimators': 120, 'max_depth': 12, 'max_features': None, 'random_state': 42}",0.9984165220431377,0.0007070273927282872,0.9966661052933156,0.0002579523747398647,0.016060895826194275,0.007446218834101765,0.15248584747314453,134,13
RandomForest,13,"{'n_estimators': 180, 'max_depth': 4, 'min_samples_split': 8, 'random_state': 42}",0.9967651393918923,0.0015642074681860752,0.9929433914839664,0.0005459887262398448,0.023366401653653154,0.011805702186546519,0.15653705596923828,134,13
RandomForest,14,"{'n_estimators': 350, 'max_depth': 9, 'min_samples_leaf': 1, 'random_state': 42}",0.9981727250885829,0.000798179797205279,0.9972914080096764,0.00020957102655476203,0.014476568189828763,0.006603172978916087,0.4425501823425293,134,13
RandomForest,15,"{'n_estimators': 400, 'max_depth': 15, 'max_features': 'sqrt', 'random_state': 42}",0.9628183833980193,0.025293957112158066,0.9807790963292913,0.001487172866186967,0.0385638803310425,0.028424289963005847,0.37571167945861816,134,13
