model,config_id,config,cv_mean,cv_std,test_r2,test_mse,test_mae
RandomForest,1,"{'n_estimators': 50, 'max_depth': 5, 'min_samples_split': 2, 'random_state': 42}",0.6152692993346993,0.045426782247163386,0.6421482934051121,120558.1899097283,212.98847675135795
RandomForest,2,"{'n_estimators': 100, 'max_depth': 7, 'min_samples_split': 2, 'random_state': 42}",0.6151527431979857,0.04616253597336455,0.6418362001618276,120663.33233548746,212.7050172092306
RandomForest,3,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 3, 'random_state': 42}",0.6150877293663439,0.046276435108753934,0.6418407613536945,120661.79569607745,212.69876183798127
RandomForest,4,"{'n_estimators': 150, 'max_depth': 8, 'min_samples_split': 2, 'random_state': 42}",0.6144648691477268,0.046282924442387324,0.6417548963806003,120690.72311361409,212.6601891460184
RandomForest,5,"{'n_estimators': 200, 'max_depth': 6, 'min_samples_split': 4, 'random_state': 42}",0.6141875194037537,0.04607203403568065,0.6418461382095708,120659.98426413536,212.5394653484285
RandomForest,6,"{'n_estimators': 200, 'max_depth': 12, 'min_samples_split': 2, 'random_state': 42}",0.6141221364830165,0.04621725731172459,0.6418493317416523,120658.90838147204,212.37092541627425
RandomForest,7,"{'n_estimators': 300, 'max_depth': 9, 'min_samples_split': 3, 'random_state': 42}",0.6139732928393791,0.04610658121304642,0.6420184730465355,120601.92564482478,211.78760907673484
RandomForest,8,"{'n_estimators': 100, 'max_depth': 15, 'min_samples_split': 5, 'random_state': 42}",0.6150740869557263,0.04627872425286694,0.641821992412795,120668.11884474398,212.9638268423387
RandomForest,9,"{'n_estimators': 150, 'max_depth': 4, 'min_samples_split': 2, 'random_state': 42}",0.5985410214263613,0.03578305568037112,0.6222642582915905,127257.0074288562,236.25475017601107
RandomForest,10,"{'n_estimators': 250, 'max_depth': 7, 'min_samples_split': 2, 'random_state': 42}",0.6139110109520015,0.046109609665437,0.6419261623838923,120633.02457824475,211.93572194636116
RandomForest,11,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'random_state': 42}",0.6150880317994286,0.04627630005855137,0.6418406735566591,120661.82527439568,212.70187505080423
RandomForest,12,"{'n_estimators': 300, 'max_depth': 5, 'min_samples_split': 6, 'random_state': 42}",0.6136988502024057,0.04493849905983393,0.6414914356498136,120779.48152451613,214.28080280514732
RandomForest,13,"{'n_estimators': 400, 'max_depth': 8, 'min_samples_split': 3, 'random_state': 42}",0.6141859354454416,0.04626135534557374,0.6418160486072937,120670.1212787668,211.99591090233542
RandomForest,14,"{'n_estimators': 500, 'max_depth': 6, 'min_samples_split': 4, 'random_state': 42}",0.614202751826409,0.04620758667129993,0.6416511937838796,120725.65992436335,212.41009655581038
XGBoost,1,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'random_state': 42}",0.6129080258714833,0.04538046656739347,0.6389289491233545,121642.76855544177,219.8491072474955
XGBoost,2,"{'n_estimators': 150, 'max_depth': 4, 'learning_rate': 0.05, 'random_state': 42}",0.6142208091341146,0.045940647544142975,0.6408676804566373,120989.62107576118,214.71410504555735
XGBoost,3,"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.1, 'random_state': 42}",0.6143173108617491,0.04657715056974625,0.641242892935875,120863.2141410036,212.63108336143094
XGBoost,4,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.2, 'random_state': 42}",0.614317311230184,0.04657727066189671,0.6412429596680242,120863.1916593248,212.6307353661292
