model,config_id,config,cv_mean,cv_std,test_r2,test_mse,test_mae
RandomForest,1,"{'n_estimators': 50, 'max_depth': 5, 'min_samples_split': 2, 'random_state': 42}",1.0,0.0,1.0,0.0,0.0
RandomForest,2,"{'n_estimators': 100, 'max_depth': 7, 'min_samples_split': 2, 'random_state': 42}",1.0,0.0,1.0,0.0,0.0
RandomForest,3,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 3, 'random_state': 42}",1.0,0.0,1.0,0.0,0.0
RandomForest,4,"{'n_estimators': 150, 'max_depth': 8, 'min_samples_split': 2, 'random_state': 42}",1.0,0.0,1.0,0.0,0.0
RandomForest,5,"{'n_estimators': 200, 'max_depth': 6, 'min_samples_split': 4, 'random_state': 42}",1.0,0.0,1.0,0.0,0.0
RandomForest,6,"{'n_estimators': 200, 'max_depth': 12, 'min_samples_split': 2, 'random_state': 42}",1.0,0.0,1.0,0.0,0.0
RandomForest,7,"{'n_estimators': 300, 'max_depth': 9, 'min_samples_split': 3, 'random_state': 42}",1.0,0.0,1.0,0.0,0.0
RandomForest,8,"{'n_estimators': 100, 'max_depth': 15, 'min_samples_split': 5, 'random_state': 42}",1.0,0.0,1.0,0.0,0.0
RandomForest,9,"{'n_estimators': 150, 'max_depth': 4, 'min_samples_split': 2, 'random_state': 42}",1.0,0.0,1.0,0.0,0.0
RandomForest,10,"{'n_estimators': 250, 'max_depth': 7, 'min_samples_split': 2, 'random_state': 42}",1.0,0.0,1.0,0.0,0.0
RandomForest,11,"{'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'random_state': 42}",1.0,0.0,1.0,0.0,0.0
RandomForest,12,"{'n_estimators': 300, 'max_depth': 5, 'min_samples_split': 6, 'random_state': 42}",1.0,0.0,1.0,0.0,0.0
RandomForest,13,"{'n_estimators': 400, 'max_depth': 8, 'min_samples_split': 3, 'random_state': 42}",1.0,0.0,1.0,0.0,0.0
RandomForest,14,"{'n_estimators': 500, 'max_depth': 6, 'min_samples_split': 4, 'random_state': 42}",1.0,0.0,1.0,0.0,0.0
XGBoost,1,"{'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1, 'random_state': 42}",1.0,0.0,1.0,0.0,0.0
XGBoost,2,"{'n_estimators': 150, 'max_depth': 4, 'learning_rate': 0.05, 'random_state': 42}",1.0,0.0,1.0,0.0,0.0
XGBoost,3,"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.1, 'random_state': 42}",1.0,0.0,1.0,0.0,0.0
XGBoost,4,"{'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.2, 'random_state': 42}",1.0,0.0,1.0,0.0,0.0
XGBoost,5,"{'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.05, 'random_state': 42}",1.0,0.0,1.0,0.0,0.0
XGBoost,6,"{'n_estimators': 250, 'max_depth': 4, 'learning_rate': 0.08, 'random_state': 42}",1.0,0.0,1.0,0.0,0.0
XGBoost,7,"{'n_estimators': 150, 'max_depth': 7, 'learning_rate': 0.1, 'random_state': 42}",1.0,0.0,1.0,0.0,0.0
XGBoost,8,"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.03, 'random_state': 42}",1.0,0.0,1.0,0.0,0.0
XGBoost,9,"{'n_estimators': 100, 'max_depth': 8, 'learning_rate': 0.15, 'random_state': 42}",1.0,0.0,1.0,0.0,0.0
XGBoost,10,"{'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.05, 'random_state': 42}",1.0,0.0,1.0,0.0,0.0
XGBoost,11,"{'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.1, 'random_state': 42}",1.0,0.0,1.0,0.0,0.0
XGBoost,12,"{'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.02, 'random_state': 42}",1.0,0.0,1.0,0.0,0.0
XGBoost,13,"{'n_estimators': 150, 'max_depth': 10, 'learning_rate': 0.1, 'random_state': 42}",1.0,0.0,1.0,0.0,0.0
