实验,模型,测试R²,测试RMSE,测试MAE,CV均值,CV标准差,耗时(秒)
Config_01,random_forest,0.7266,0.0681,0.0481,0.7617,0.0145,3.1
Config_01,xgboost,0.869,0.0472,0.0364,0.8638,0.0132,3.1
Config_01,lightgbm,0.87,0.047,0.0369,0.8583,0.0167,3.1
Config_02,random_forest,0.8246,0.0546,0.0374,0.8382,0.0079,2.5
Config_02,xgboost,0.8759,0.0459,0.0336,0.8772,0.0039,2.5
Config_02,lightgbm,0.8792,0.0453,0.0335,0.8766,0.0066,2.5
Config_03,random_forest,0.8429,0.0516,0.0353,0.8523,0.008,3.9
Config_03,xgboost,0.8622,0.0484,0.034,0.8767,0.006,3.9
Config_03,lightgbm,0.8781,0.0455,0.0332,0.8822,0.008,3.9
Config_04,random_forest,0.8472,0.0509,0.0347,0.8554,0.0077,6.3
Config_04,xgboost,0.8561,0.0494,0.0335,0.8666,0.0073,6.3
Config_04,lightgbm,0.8727,0.0465,0.033,0.8791,0.0047,6.3
Config_05,random_forest,0.8468,0.051,0.0352,0.8557,0.0074,8.3
Config_05,xgboost,0.8604,0.0487,0.033,0.8677,0.0069,8.3
Config_05,lightgbm,0.8727,0.0465,0.0333,0.8839,0.0043,8.3
Config_06,random_forest,0.8479,0.0508,0.035,0.8543,0.0074,8.8
Config_06,xgboost,0.8511,0.0503,0.0337,0.8589,0.0047,8.8
Config_06,lightgbm,0.8771,0.0457,0.0318,0.8842,0.0037,8.8
Config_07,random_forest,0.8477,0.0508,0.0351,0.8556,0.0072,12.0
Config_07,xgboost,0.857,0.0493,0.0333,0.8641,0.0019,12.0
Config_07,lightgbm,0.875,0.0461,0.0328,0.8836,0.0046,12.0
Config_08,random_forest,0.8464,0.0511,0.0353,0.8554,0.0072,17.8
Config_08,xgboost,0.8487,0.0507,0.0339,0.8633,0.0037,17.8
Config_08,lightgbm,0.8746,0.0461,0.0322,0.8843,0.0051,17.8
Config_09,random_forest,0.847,0.051,0.0352,0.8558,0.0072,25.7
Config_09,xgboost,0.8423,0.0517,0.0345,0.8565,0.0073,25.7
Config_09,lightgbm,0.8764,0.0458,0.0318,0.8837,0.0051,25.7
Config_10,random_forest,0.8355,0.0528,0.0361,0.8463,0.0084,13.9
Config_10,xgboost,0.8609,0.0486,0.0328,0.8706,0.0056,13.9
Config_10,lightgbm,0.8747,0.0461,0.0328,0.8839,0.0046,13.9
Config_11,random_forest,0.8394,0.0522,0.0355,0.8503,0.0074,12.5
Config_11,xgboost,0.8559,0.0495,0.0332,0.866,0.0044,12.5
Config_11,lightgbm,0.8755,0.046,0.0321,0.8843,0.0044,12.5
Config_12,random_forest,0.847,0.051,0.0353,0.8563,0.007,50.9
Config_12,xgboost,0.8365,0.0527,0.0353,0.8451,0.0091,50.9
Config_12,lightgbm,0.8767,0.0457,0.0317,0.8831,0.0061,50.9
