name,algorithm,train_samples,val_samples,test_samples,val_r2,val_rmse,val_mae,val_mape,test_r2,test_rmse,test_mae,test_mape,train_time,total_time
RF-保守,RandomForest,3256,931,466,0.3587622205533165,0.15669538437863836,0.11372428161358711,28.124642832368597,0.3243519505410358,0.1485084084099945,0.10948873048674733,35.68261385275802,0.08479619026184082,0.14557147026062012
RF-标准,RandomForest,3256,931,466,0.43690599993959456,0.1468375410678333,0.10656425116221509,26.441917101970745,0.4171674573685853,0.13793125139607051,0.10279101467086209,29.771845891406322,0.22034215927124023,0.24195313453674316
RF-高性能,RandomForest,3256,931,466,0.5154791229206829,0.13620808926532488,0.097686510937023,24.704145280657187,0.49422499514566764,0.1284900391675878,0.09525015080659355,26.27675970569853,0.5670711994171143,0.6109204292297363
RF-深度,RandomForest,3256,931,466,0.5825326679433653,0.1264322601249307,0.08811979974505389,22.926242120310057,0.5666036707966109,0.11894149538448535,0.08566836947014547,24.289929584424424,1.2391862869262695,1.3128602504730225
XGB-标准,XGBoost,3256,931,466,0.5689767062001212,0.12846860965057838,0.08943920659172859,23.37223248233592,0.5541264991154912,0.12064146742897049,0.0866095291521953,25.386193053370583,0.05982708930969238,0.10324406623840332
XGB-高学习率,XGBoost,3256,931,466,0.5821480456606225,0.12649048919490513,0.08773395328129983,22.848559184669405,0.5605464209050925,0.11976978859625423,0.08553709992304336,24.927114343528693,0.05938243865966797,0.0663595199584961
XGB-低学习率,XGBoost,3256,931,466,0.5714309635158185,0.12810233578973368,0.08932861508801138,23.335990204478048,0.5553874054716487,0.12047076285667582,0.08655821639445718,25.581406634214932,0.10239410400390625,0.1103677749633789
GBR-标准,GradientBoosting,3256,931,466,0.5780155098660822,0.1271144427097043,0.08834852493185923,23.147289922932995,0.5568435907824659,0.12027331947293711,0.08619941986777027,25.119372738895194,0.2626667022705078,0.26857972145080566
GBR-保守,GradientBoosting,3256,931,466,0.4881773814481668,0.13999302259537952,0.10010617094114375,25.673796808002297,0.4773471188696027,0.13061632321932576,0.09686555948909924,31.000436808229676,0.08478426933288574,0.08972883224487305
SVR-RBF,SVR,3256,931,466,0.3743163339448149,0.15478328590277254,0.11039132624229654,28.312581446474873,0.3704963104822122,0.14334743292026136,0.10437497698994659,33.98110065363304,0.1961967945098877,0.3222079277038574
SVR-线性,SVR,3256,931,466,0.23644367891288653,0.17098861387933,0.12179020096247338,33.2769910590778,0.19655252541264712,0.16194573877312798,0.11766813103392462,42.766664594441856,0.5385169982910156,0.5812525749206543
Ridge,Ridge,3256,931,466,0.25147864689559307,0.16929680040332995,0.12376976207842103,32.03665981789515,0.1982368461029681,0.16177590087274143,0.11894483663109162,40.678541060241244,0.03679990768432617,0.0438532829284668
Lasso,Lasso,3256,931,466,-5.376061889883488e-06,0.19568062224441737,0.14861294228347136,39.301555482660596,-0.00048403591624435194,0.18071569058061085,0.1399520159439807,50.54800907156513,0.002911806106567383,0.007970571517944336
